	GCF_001021495.1_ASM102149v1_genomic	GCF_023735495.1_ASM2373549v1_genomic	GCF_002777115.1_ASM277711v1_genomic	GCF_022554835.1_ASM2255483v1_genomic	GCF_002563145.1_ASM256314v1_genomic	GCF_022846515.1_ASM2284651v1_genomic	GCF_000381025.1_ASM38102v1_genomic	GCF_002761335.1_ASM276133v1_genomic	GCF_002566435.1_ASM256643v1_genomic	GCF_900639635.1_E8927_hybrid_assembly_genomic
GCF_001021495.1_ASM102149v1_genomic	1.0	0.6854365789473685	0.7272133333333334	0.6785034210526315	0.7356299999999999	0.727212	0.712399792626728	0.6840931034482759	0.728886	0.7825233333333335
GCF_023735495.1_ASM2373549v1_genomic	0.7195004166666666	1.0	0.7291742307692308	0.8019614060896341	0.7272055813953487	0.7283169047619048	0.6809373529411765	0.7957149264164828	0.7244479545454546	0.7274380487804878
GCF_002777115.1_ASM277711v1_genomic	0.7187739999999999	0.7225	1.0	0.7218325	0.6993827272727272	0.7114362499999999	0.0	0.7100942857142857	0.7357471428571429	0.721472857142857
GCF_022554835.1_ASM2255483v1_genomic	0.7000450000000001	0.8015162345884705	0.7425285714285714	1.0	0.710529	0.7046033333333332	0.6767968571428573	0.7912486996904025	0.7045261904761906	0.7083556250000002
GCF_002563145.1_ASM256314v1_genomic	0.749464	0.6895673684210529	0.7053725000000001	0.6765108333333332	1.0	0.7057712820512821	0.0	0.6996607142857144	0.7218139553072627	0.704528563218391
GCF_022846515.1_ASM2284651v1_genomic	0.7562205882352941	0.7143978787878789	0.7299294444444445	0.6971521739130434	0.7154901764705883	1.0	0.66134	0.7185506896551724	0.7155580952380953	0.7392588901734104
GCF_000381025.1_ASM38102v1_genomic	0.7131492359550562	0.6798596153846154	0.0	0.6744929411764706	0.6624899999999999	0.63946	1.0	0.6658875000000001	0.6653	0.64607
GCF_002761335.1_ASM276133v1_genomic	0.7104590000000001	0.7960038255033556	0.7329014999999999	0.7922668041237114	0.7417248387096774	0.7323745454545455	0.6733656521739131	1.0	0.7294860000000002	0.7416553571428571
GCF_002566435.1_ASM256643v1_genomic	0.712525	0.683494	0.7245283333333333	0.667945	0.7219344309392265	0.7002638410596028	0.0	0.6871739130434784	1.0	0.7021736994219653
GCF_900639635.1_E8927_hybrid_assembly_genomic	0.7695377777777778	0.7282460000000001	0.7360315000000001	0.6959653846153846	0.7154535051546391	0.7408695584725539	0.0	0.7300836666666668	0.719657142857143	1.0
